Payment Plan Name,Deposit to Price Ratio,Daily rate,LLR,Deposit,Product Price
MK Phone Nokia C21 2/32 Red-Con V7,0.1798,2050,0.1723,164000,912250
MK Phone Samsung A03s 4/64 Staff MTN v1,0.1762,2100,0.0032,164000,930500
MK Phone Samsung A03 Core 2/32 Red-Con v13,0.1729,2150,0.1599,164000,948750
MK Phone Nokia C30 2/32 Red-Con v7,0.1634,2300,0.2289,164000,1003500
MK Phone Nokia C21 2/32 Conv MTN v12,0.1888,1990,0.2211,169000,895350
MK Phone Nokia C21 2/32 Red-Con MTN v12,0.1888,1990,0.199,169000,895350
MK Phone Nokia C30 2/32 Red-Con v9,0.1676,2300,0.235,169000,1008500
MK Phone Nokia 2.4 MTN v8,0.1617,2400,0.2727,169000,1045000
MK Phone Nokia 2.4 v4,0.1617,2400,0.3497,169000,1045000
MK Phone Nokia 2.4 v5,0.1617,2400,0.2932,169000,1045000
MK Phone Nokia 2.4 v6,0.1617,2400,0.3837,169000,1045000
MK Phone Samsung A03S 3/32 F&F v1,0.1617,2400,0.5298,169000,1045000
MK Phone Samsung A10S v11,0.1617,2400,0.2812,169000,1045000
MK Phone Nokia G11 Plus 3/64 F&F v1,0.1563,2500,0.4212,169000,1081500
MK Phone Samsung A02s v2,0.1563,2500,0.2226,169000,1081500
MK Phone Nokia C31 4/64GB Red-Con MTN v1,0.2029,1830,0.1571,170000,837950
MK Phone Samsung A12 Staff v6,0.1824,2100,0.1458,171000,937500
