,Payment Plan,Cost per Credit,Deposit,Loan Duration,Product Price,Product Price Weighted Llr 200,Quality of Sales
130,MK Phone Samsung A03 Core 2/32 v26 DS,65,"3,199",365,"26,924",0.1670608612864149,0.924
131,MK Phone Samsung A03 Core 2/32 v25 DS,65,"2,999",365,"26,724",0.16367660454121,0.921
132,MK Phone Samsung A03 Core 2/32 v24 DS HRA,65,"2,999",365,"26,724",0.17910722071622331,0.919
133,MK Phone Samsung A03 Core 2/32 v22 DS HRA,70,"3,499",365,"29,049",0.19981259979417204,0.884
134,MK Phone Samsung A03 Core 2/32 v21 DS HRA,75,"3,499",365,"30,874",0.21145554268269473,0.868
135,MK Phone Samsung A03 Core 2/32 v20 DS HRA,65,"3,999",365,"27,724",0.18819783602562765,0.900
136,MK Phone Samsung A03 Core 2/32 v20 DS,70,"3,499",365,"29,049",0.1719729377760104,0.897
137,MK Phone Samsung A03 Core 2/32 v2,50,"2,499",365,"20,749",0.15190402526916189,0.920
138,MK Phone Samsung A03 Core 2/32 v19 ST Pilot,65,"3,199",365,"26,924",0.16652132190421812,0.936
139,MK Phone Samsung A03 Core 2/32 v19 DS HRA,55,"3,499",365,"23,574",0.15470175988094348,0.921
140,MK Phone Samsung A03 Core 2/32 v19 DS,75,"3,499",365,"30,874",0.1901256869050205,0.888
141,MK Phone Samsung A03 Core 2/32 v18 ST Pilot,65,"2,999",365,"26,724",0.16896292933461354,0.946
142,MK Phone Samsung A03 Core 2/32 v18 HRA,55,"3,499",365,"23,574",0.16820354187105815,0.917
143,MK Phone Samsung A03 Core 2/32 v18 DS,65,"3,999",365,"27,724",0.15127999483986837,0.918
144,MK Phone Samsung A03 Core 2/32 v17 ST Pilot,70,"3,499",365,"29,049",0.14821406962963554,0.943
145,MK Phone Samsung A03 Core 2/32 v17 HRA,50,"5,324",365,"23,574",0.1617999674850553,0.940
146,MK Phone Samsung A03 Core 2/32 v17,55,"3,499",365,"23,574",0.13649382436911672,0.932
