Payment Plan Name,Deposit to Price Ratio,Daily rate,LLR
MK Phone Samsung A33 6/128 Red-Con MTN v1 F&F,0.1575,5700,0.223
MK Phone Samsung A33 6/128 Red-Con MTN v4,0.171,7350,0.1871
MK Phone Samsung A72 6/128 F&F v1,0.1473,9200,0.7619
MK Phone Samsung A72 6/128 MTN v4,0.1459,9200,0.1566
MK Phone Samsung A72 6/128 v2,0.1459,9200,0.2188
MK Phone Samsung A33 6/128 MTN v6,0.1796,8100,0.1994
MK Phone Samsung A33 6/128 Red-Con MTN v6,0.1796,8100,0.0504
MK Phone Samsung A33 6/128 Red-Con MTN v7,0.1796,8100,0.1167
MK Phone Samsung A53 8/128 MTN v4,0.1649,9000,0.683
MK Phone Samsung A53 8/128 Red-Con MTN v3,0.1649,9000,0.1099
MK Phone Samsung A53 8/128 Red-Con MTN v6,0.1714,9100,0.1279
MK Phone Samsung A53 8/128 MTN v14,0.1897,9450,0.0788
MK Phone Samsung A53 8/128 Red-Con MTN v14,0.1897,9450,0.0122
MK Phone Samsung A53 8/128 MTN v8,0.1809,10100,0.6638
MK Phone Samsung A53 8/128 Red-Con MTN v9,0.1809,10100,0.1724
