Payment Plan Name,Deposit to Price Ratio,Daily rate,LLR
207vv8,0.185,2100,0.2242
208vv8,0.185,2100,0.2283
209vv5,0.185,2100,0.1615
210v13,0.1836,2120,0.0346
211v13,0.1836,2120,0.205
212vv1,0.1717,2300,0.0031
213vv4,0.1462,2800,0.2234
214v15,0.1985,1980,0.165
215vv8,0.1893,2100,0.1522
216v19,0.1893,2100,0.2159
217v19,0.1893,2100,0.1854
218vv6,0.1857,2150,0.2051
219v12,0.1857,2150,0.1849
220vv9,0.179,2250,0.6136
221vv9,0.179,2250,0.2191
222vv4,0.164,2500,0.2497
223vv1,0.164,2500,0.262
224vv3,0.164,2500,0.2068
225vv1,0.1587,2600,0.2194
226vv2,0.1587,2600,0.1978
227vv3,0.1587,2600,0.1646
228vv2,0.1537,2700,0.3883
229vv4,0.1537,2700,0.3061
230vv5,0.1537,2700,0.2522
231vv6,0.1513,2750,0.1836
232vv7,0.1513,2750,0.2584
233vs),0.1127,2600,0.8178
234vRT,0.1235,3500,0.5423
235vv1,0.2001,2650,0.2184
236v18,0.1782,2300,0.2282
237v18,0.1782,2300,0.2042
238v16,0.1951,2080,0.1913
239v20,0.1864,2200,0.1516
240v20,0.1864,2200,0.1963
241v16,0.1811,2280,0.2098
242v16,0.1811,2280,0.1896
243v11,0.1503,2850,0.264
244v11,0.1503,2850,0.2666
245v10,0.1503,2850,0.2428
246vv2,0.2106,1900,0.1466
247v19,0.1759,2400,0.0262
248v13,0.1919,2180,0.1797
249v11,0.1838,2300,0.2458
250v11,0.1806,2350,0.3122
251v10,0.1806,2350,0.2055
252vv9,0.1806,2350,0.2974
253vv8,0.1806,2350,0.1804
254vv2,0.1609,2700,0.1675
255vv9,0.1472,3000,0.2518
256v17,0.1925,2230,0.126
257v17,0.1925,2230,0.2024
258vv9,0.1813,2400,0.18
259v12,0.1753,2500,0.0276
260vv5,0.1549,2900,0.1917
261v11,0.2101,2050,0.1557
262v14,0.1916,2300,0.1784
263v13,0.182,2450,0.2042
264v13,0.182,2450,0.1995
265vv6,0.179,2500,0.2445
266vv7,0.1463,2700,0.4248
267vv6,0.1463,2700,0.1471
268v10,0.1655,2750,0.2604
269vv6,0.163,2800,0.178
270vv3,0.1606,2850,0.189
271vv2,0.1583,2900,0.0512
